concept,description,text
What is the intent of design rule B1MD?,The reason why the MVLT and MERGEDEF was formulated as mutually exclusive into the Design Rule Spec at the time when it was originated seems to have been forgotten. There will be no risk if the TRENCH of devices with MVLT layer are merged as long as the condition of voltage difference <50V is valid.,"###Human:
What is the intent of design rule B1MD?

###Assistant:
The reason why the MVLT and MERGEDEF was formulated as mutually exclusive into the Design Rule Spec at the time when it was originated seems to have been forgotten. There will be no risk if the TRENCH of devices with MVLT layer are merged as long as the condition of voltage difference <50V is valid."
What is the intent of design rule S2TR?,The S2TR rule was implemented to ensure that floating tubs were always built the same way.  It applies to nested trench rings used in the MUTRIS core for device isolation and its intent was to prevent engineers from placing contacts between these rings because for the isolation in the MUTRIS core to work properly these silicon tubs must be floating.  This requirement is not as strict for the newer SITRUS core but the rule has been left in the process because of the number of older designs using the MUTRIS core.,"###Human:
What is the intent of design rule S2TR?

###Assistant:
The S2TR rule was implemented to ensure that floating tubs were always built the same way.  It applies to nested trench rings used in the MUTRIS core for device isolation and its intent was to prevent engineers from placing contacts between these rings because for the isolation in the MUTRIS core to work properly these silicon tubs must be floating.  This requirement is not as strict for the newer SITRUS core but the rule has been left in the process because of the number of older designs using the MUTRIS core."
The SPICE model libraries include *_bjt models for some MOS devices. What are they for?,"The purpose of the added PNP bipolars to the *_bjt models is to show that there can occur bipolar effects under certain conditions, but it is by far not very accurate and it has limitations. It is nevertheless extracted on silicon at different geometries and good simulation accuracy can be expected when the HVMOS channel is completely switched off and only the drain/bulk junction is forward-biased. But in other cases, the accuracy is limited: especially when the channel is in inversion and/or the bulk/substrate junction is forward-biased. Both conditions change the minority carrier distribution in the bulk/base a lot and lead to a change in the beta. There is no statistical process monitoring for these parasitic BJTs. In our experience the most reliable results and complete picture in simulation can be achieved with the substrate extractor tool, which is supported for xh018. See https://my.xfab.com/search/_action/relation/c7d55cc4-78d6-4d22-bdfa-897b19a3c8d4/","###Human:
The SPICE model libraries include *_bjt models for some MOS devices. What are they for?

###Assistant:
The purpose of the added PNP bipolars to the *_bjt models is to show that there can occur bipolar effects under certain conditions, but it is by far not very accurate and it has limitations. It is nevertheless extracted on silicon at different geometries and good simulation accuracy can be expected when the HVMOS channel is completely switched off and only the drain/bulk junction is forward-biased. But in other cases, the accuracy is limited: especially when the channel is in inversion and/or the bulk/substrate junction is forward-biased. Both conditions change the minority carrier distribution in the bulk/base a lot and lead to a change in the beta. There is no statistical process monitoring for these parasitic BJTs. In our experience the most reliable results and complete picture in simulation can be achieved with the substrate extractor tool, which is supported for xh018. See https://my.xfab.com/search/_action/relation/c7d55cc4-78d6-4d22-bdfa-897b19a3c8d4/"
"The NVRAM datasheet indicates 1.8V and 3.3V supplies are required. Are they both needed for normal operation, or just for programming?","STORE / RECALL operations require 1.8V and 3.3V; READ / WRITE of the SRAM requires only 1.8V.
The 3.3V is only necessary (in addition to 1.8V) during STORE (the programming of the non-volatile part) and during RECALL (the cycle for bring back the information to the SRAM). For read / write of the SRAM only the 1.8V supply is needed.","###Human:
The NVRAM datasheet indicates 1.8V and 3.3V supplies are required. Are they both needed for normal operation, or just for programming?

###Assistant:
STORE / RECALL operations require 1.8V and 3.3V; READ / WRITE of the SRAM requires only 1.8V.
The 3.3V is only necessary (in addition to 1.8V) during STORE (the programming of the non-volatile part) and during RECALL (the cycle for bring back the information to the SRAM). For read / write of the SRAM only the 1.8V supply is needed."
Some MOS devices have butted NDIFF and PDIFF regions with only a single contact. How should the connection be understood?,"The NDIFF and PDIFF can be butted and a single CONT used to connect to the butted nodes because all the DIFF is covered with a silicide layer which shorts together the NDIFF and PDIFF, the CONT makes connection to the silicide layer.""","###Human:
Some MOS devices have butted NDIFF and PDIFF regions with only a single contact. How should the connection be understood?

###Assistant:
The NDIFF and PDIFF can be butted and a single CONT used to connect to the butted nodes because all the DIFF is covered with a silicide layer which shorts together the NDIFF and PDIFF, the CONT makes connection to the silicide layer."""
Please clarify the use of the HRPOLY and LRPOLY modules.,"The primitive devices in the HRPOLY module are already included in the MOSLL or MOSLT main modules flow. Similarly, the primitives in the LRPOLY module are already included in the MOS or MOS5 main modules.

The resistors rpp1 and rnp1 have the HRES as a design layer. This layer is included on the primitive device in the PRIMLIB.
For MOS/MOS5 process flows, the HRES design layer is used to generate the UGM mask.
For the MOSLL/MOSLT flows the HRES design layer is not used.

The resistors rp1 and rsp1 have the LRES as a design layer. This layer is included on the primitive device in the PRIMLIB.
For MOSLL/MOSLT flows, the LRES design layer is used to generate the NGM mask.
For the MOS/MOS5 flows the LRES design layer is not used.

The Design Rule Specification includes these comments in the design layer table:

LRES Required for device recognition.
Also used for mask generation when MOSLL or MOSLT modules are selected.

LRES under MOS flow IS USED for mask generation with the XRPOLY module.
See the dpol device rules.

HRES Required for device recognition.
Also used for mask generation when MOS or MOS5 modules are selected.

Please leave the HRES design layer on the resistors.","###Human:
Please clarify the use of the HRPOLY and LRPOLY modules.

###Assistant:
The primitive devices in the HRPOLY module are already included in the MOSLL or MOSLT main modules flow. Similarly, the primitives in the LRPOLY module are already included in the MOS or MOS5 main modules.

The resistors rpp1 and rnp1 have the HRES as a design layer. This layer is included on the primitive device in the PRIMLIB.
For MOS/MOS5 process flows, the HRES design layer is used to generate the UGM mask.
For the MOSLL/MOSLT flows the HRES design layer is not used.

The resistors rp1 and rsp1 have the LRES as a design layer. This layer is included on the primitive device in the PRIMLIB.
For MOSLL/MOSLT flows, the LRES design layer is used to generate the NGM mask.
For the MOS/MOS5 flows the LRES design layer is not used.

The Design Rule Specification includes these comments in the design layer table:

LRES Required for device recognition.
Also used for mask generation when MOSLL or MOSLT modules are selected.

LRES under MOS flow IS USED for mask generation with the XRPOLY module.
See the dpol device rules.

HRES Required for device recognition.
Also used for mask generation when MOS or MOS5 modules are selected.

Please leave the HRES design layer on the resistors."
What is the difference between the types of body tied transistors?,"There are two types of transistors available in the XI10 process, the H and A types.
The A type transistors use the 'castellated' source/body structure; they have the advantage that they can be made whatever width the customer wants because the body contact is distributed along the source width. However, they have the disadvantage that the N+ and P+ diffusions for the source and body are touching, so there will be biasing limitations for these terminals. The xi10 S/D is not silicided, so at least there is no direct short between the source and body in these transistors, but with the N+/P+ abutment, trying to apply different voltages to the source and body will likely result in either high leakage between the two terminals or outright breakdown as this structure is effectively a surface Zener diode.
The H type transistors place the body contacts of the transistors at the ends of the channel and separate the P+ and N+ diffusions by a cross connection of poly to the gate (the designation 'H' transistors comes from the resulting shape of the poly gate). The advantage of these devices is that with the diffusions separated no parasitic Zener diode is formed, so leakage and breakdown between the source and body will not be an issue. The disadvantage of these devices is that due to body resistance perpendicular to the channel, the ratio of W/L is limited for the devices to 6 for the nmos and 12 for the pmos devices.","###Human:
What is the difference between the types of body tied transistors?

###Assistant:
There are two types of transistors available in the XI10 process, the H and A types.
The A type transistors use the 'castellated' source/body structure; they have the advantage that they can be made whatever width the customer wants because the body contact is distributed along the source width. However, they have the disadvantage that the N+ and P+ diffusions for the source and body are touching, so there will be biasing limitations for these terminals. The xi10 S/D is not silicided, so at least there is no direct short between the source and body in these transistors, but with the N+/P+ abutment, trying to apply different voltages to the source and body will likely result in either high leakage between the two terminals or outright breakdown as this structure is effectively a surface Zener diode.
The H type transistors place the body contacts of the transistors at the ends of the channel and separate the P+ and N+ diffusions by a cross connection of poly to the gate (the designation 'H' transistors comes from the resulting shape of the poly gate). The advantage of these devices is that with the diffusions separated no parasitic Zener diode is formed, so leakage and breakdown between the source and body will not be an issue. The disadvantage of these devices is that due to body resistance perpendicular to the channel, the ratio of W/L is limited for the devices to 6 for the nmos and 12 for the pmos devices."
How should the poly ring of diodes be biased?,"Due to its lateral construction, the diode is different from pure bulk junction diodes in other processes.
You might review the Device Characteristics Documentation (you can either download the package or browse online by clicking the globe icon) to see how the poly ring potential influences the current.
https://my.xfab.com/search/_action/relation/96b7577d-f3b9-40e3-b81f-27cee2e35705/

The 'dn' model is a subckt model consisting of level1 diode models with different ideality factors. In this model the different diodes are used to model the current forward/reverse over temperature. With respect to the diode current the process variation is solely covered by changing the 'is' parameter in the model and the ideality factor is unchanged. Usually the diode current consists of an ideal and a non-ideal part and the ratio of both can change with process variation (the non-ideal part is fluctuating, while the ideal part is very stable). Changing the ideality factor in the model would lead to a large deviation of the current over temperature, which we do not observe, but we only have limited data from a statistical point of view (only lab measurements over T). It is safer to avoid using this device for high precision applications like bandgaps because the forward voltage variation is not measured by PCM test and therefore also the corner models will not be as accurate as needed for this purpose.","###Human:
How should the poly ring of diodes be biased?

###Assistant:
Due to its lateral construction, the diode is different from pure bulk junction diodes in other processes.
You might review the Device Characteristics Documentation (you can either download the package or browse online by clicking the globe icon) to see how the poly ring potential influences the current.
https://my.xfab.com/search/_action/relation/96b7577d-f3b9-40e3-b81f-27cee2e35705/

The 'dn' model is a subckt model consisting of level1 diode models with different ideality factors. In this model the different diodes are used to model the current forward/reverse over temperature. With respect to the diode current the process variation is solely covered by changing the 'is' parameter in the model and the ideality factor is unchanged. Usually the diode current consists of an ideal and a non-ideal part and the ratio of both can change with process variation (the non-ideal part is fluctuating, while the ideal part is very stable). Changing the ideality factor in the model would lead to a large deviation of the current over temperature, which we do not observe, but we only have limited data from a statistical point of view (only lab measurements over T). It is safer to avoid using this device for high precision applications like bandgaps because the forward voltage variation is not measured by PCM test and therefore also the corner models will not be as accurate as needed for this purpose."
What is the handle wafer contact resistance?,"It is in the 10 kOhm range. We do not specify a value because it cannot be measured easily, e.g. from one HW contact to another the handle wafer resistance is in-between, from top to bottom is the thickness of the handle wafer (and if not back-lapped the oxide on bottom also). 
A similar issue exists for XT06; however a contact 'resistance' is specified in the Process Spec., but indeed much of the resistance comes from handle wafer (undoped) resistance, not the contact itself.","###Human:
What is the handle wafer contact resistance?

###Assistant:
It is in the 10 kOhm range. We do not specify a value because it cannot be measured easily, e.g. from one HW contact to another the handle wafer resistance is in-between, from top to bottom is the thickness of the handle wafer (and if not back-lapped the oxide on bottom also). 
A similar issue exists for XT06; however a contact 'resistance' is specified in the Process Spec., but indeed much of the resistance comes from handle wafer (undoped) resistance, not the contact itself."
How should I connect the 'wh' handle wafer pin?,"The 'wh' handle wafer pin represents the connection of the back handle of the wafer situated just below the BOX and allows the connection of a substrate model to the device.

A local artificial substrate under the below devices is recognized as their 'wh' terminal:
RF MOS : diffusion area enclosing source/drain regions
Front-End Resistors : body of the devices
Capacitors : bounding box of the device
Varactors : diffusion area

The 'wh' terminal connection for RF MOS, Front-End Resistors (Poly1 and Diffusion type), capacitors and varactors 
 - Leave it floating
 - Connect it to a noConn device (to avoid warnings after 'Check and Save"")
 - Connect it to lsubmod device

The 'wh' pin for all other devices (DC MOS, inductors and metal resistors) are merged together during LVS/PEX to a single substrate node which equals the wafer back side connection
the 'wh' terminal of these devices must be tied together in the schematic
a label with the name of this common node must be placed anywhere in the layout cell view. The label must be drawn using the LPP Wafer_txt:drawing.

Merging 'wh' pins in the layout view
E.g required when using of multiplier 'm' device parameter for the devices with internal vertical substrate model or
When using ser/par of resistors e.g. series resistors
The Marksub:Commonsub (33:33) has to be drawn around the concerned devices in order to represent their common wafer handle terminal.

Concerning the third pin of the MIMCAP, the 'wh' pin (pin below the BOX) could be ignored. This is for simulating the lateral substrate model. There is no issue in ignoring it concerning LVS.","###Human:
How should I connect the 'wh' handle wafer pin?

###Assistant:
The 'wh' handle wafer pin represents the connection of the back handle of the wafer situated just below the BOX and allows the connection of a substrate model to the device.

A local artificial substrate under the below devices is recognized as their 'wh' terminal:
RF MOS : diffusion area enclosing source/drain regions
Front-End Resistors : body of the devices
Capacitors : bounding box of the device
Varactors : diffusion area

The 'wh' terminal connection for RF MOS, Front-End Resistors (Poly1 and Diffusion type), capacitors and varactors 
 - Leave it floating
 - Connect it to a noConn device (to avoid warnings after 'Check and Save"")
 - Connect it to lsubmod device

The 'wh' pin for all other devices (DC MOS, inductors and metal resistors) are merged together during LVS/PEX to a single substrate node which equals the wafer back side connection
the 'wh' terminal of these devices must be tied together in the schematic
a label with the name of this common node must be placed anywhere in the layout cell view. The label must be drawn using the LPP Wafer_txt:drawing.

Merging 'wh' pins in the layout view
E.g required when using of multiplier 'm' device parameter for the devices with internal vertical substrate model or
When using ser/par of resistors e.g. series resistors
The Marksub:Commonsub (33:33) has to be drawn around the concerned devices in order to represent their common wafer handle terminal.

Concerning the third pin of the MIMCAP, the 'wh' pin (pin below the BOX) could be ignored. This is for simulating the lateral substrate model. There is no issue in ignoring it concerning LVS."
"Why do I get nwell and pwell width errors for my pe5 devices? Relevant rules may include W1W1, W1W2, W1W3, W1W4, E1MVDF.","Such errors should be corrected. NWELL drawn outside MV will be NWELL1, NWELL inside MV will be NWELL2. With NWELL crossing MV, the sliver outside MV is NWELL1. All NWELL associated with the pe5 must be enclosed by MV.
For the pe5 devices, the MV layer extends 0.6um beyond the NWELL. This seemingly large MV enclosure of NWELL is due to the fact that the space between MV and the nwell will be PWELL2, for which rule W1W4 dictates a 0.6um minimum width.","###Human:
Why do I get nwell and pwell width errors for my pe5 devices? Relevant rules may include W1W1, W1W2, W1W3, W1W4, E1MVDF.

###Assistant:
Such errors should be corrected. NWELL drawn outside MV will be NWELL1, NWELL inside MV will be NWELL2. With NWELL crossing MV, the sliver outside MV is NWELL1. All NWELL associated with the pe5 must be enclosed by MV.
For the pe5 devices, the MV layer extends 0.6um beyond the NWELL. This seemingly large MV enclosure of NWELL is due to the fact that the space between MV and the nwell will be PWELL2, for which rule W1W4 dictates a 0.6um minimum width."
Please explain the HW terminal on some devices.,"Several transistors (e.g. nhvta, nhvtb, nhvu, ndhvt, ndhvta, phvta, phvtb and phvu) need a handle wafer connection for simulation. The fifth terminal 'HW' of these transistors is used for this. It is necessary to connect this terminal in schematic and layout. LVS checks this connection.

The connection of the handle wafer can be realized by a top side or a back side connection. In case of top side connection the HWC module is to be used. If the back side application is used or in case of the transistors nhvta, nhvtb, nhvu, ndhvt, ndhvta, phvta, phvtb and phvu, an auxiliary handle wafer contact is necessary in the layout view. The auxiliary handle wafer contact is only used for LVS and simulation, no mask will be created.

The xt018-ApplicationNote-Layout_Techniques document explains how to create an auxiliary handle wafer contact in layout.","###Human:
Please explain the HW terminal on some devices.

###Assistant:
Several transistors (e.g. nhvta, nhvtb, nhvu, ndhvt, ndhvta, phvta, phvtb and phvu) need a handle wafer connection for simulation. The fifth terminal 'HW' of these transistors is used for this. It is necessary to connect this terminal in schematic and layout. LVS checks this connection.

The connection of the handle wafer can be realized by a top side or a back side connection. In case of top side connection the HWC module is to be used. If the back side application is used or in case of the transistors nhvta, nhvtb, nhvu, ndhvt, ndhvta, phvta, phvtb and phvu, an auxiliary handle wafer contact is necessary in the layout view. The auxiliary handle wafer contact is only used for LVS and simulation, no mask will be created.

The xt018-ApplicationNote-Layout_Techniques document explains how to create an auxiliary handle wafer contact in layout."
With what potential should the handle wafer (HW) be biased?,Please see section 2.5 in the xt018 layout techniques application note. The xt018 Process & Device Specification provides operating limits for each device with respect to the HW.,"###Human:
With what potential should the handle wafer (HW) be biased?

###Assistant:
Please see section 2.5 in the xt018 layout techniques application note. The xt018 Process & Device Specification provides operating limits for each device with respect to the HW."
Why doesn't the xt018 HV_CELLS library automatically load?,"The module requirements can differ depending on the selected cell -- this applies mainly to the 1.8V cells as they are not compatible with the MOS5 core module. In the Cadence PDK environment, whether an X-FAB library is available for a particular PDK startup option is controlled by the pdk_code.txt file within the library. The file currently in the library only specifies options with the LP5MOS main module. However, the library can also be used with the MOS5 main module (except the 1.8V cells, as already noted).
The pdk_code.txt file can be amended as below to include MOS5, which specifies the compatible options. Change the file in your installed library at (the exact path depends on the library version) $X_DIR/xt018/esdlibs/HV_CELLS/v1_2/cadence_IC61/v1_2_0/HV_CELLS/ with the content below.
It's important that when selecting any cell, you ensure that its module requirements are consistent with those of your design.

# Do not edit this file!
# File keeps xkit start up information
# HV_CELLS v1_2_0
# MOS5 options added
PDK_CODE xt018_1231_LP5MOS_MET3_METMID
PDK_CODE xt018_1232_LP5MOS_MET3_METTHK
PDK_CODE xt018_1233_LP5MOS_MET3_METMID_METTHK
PDK_CODE xt018_1241_LP5MOS_MET3_MET4_METMID
PDK_CODE xt018_1242_LP5MOS_MET3_MET4_METTHK
PDK_CODE xt018_1243_LP5MOS_MET3_MET4_METMID_METTHK
PDK_CODE xt018_1251_LP5MOS_MET3_MET4_MET5_METMID
PDK_CODE xt018_1252_LP5MOS_MET3_MET4_MET5_METTHK
PDK_CODE xt018_5031_MOS5_MET3_METMID
PDK_CODE xt018_5032_MOS5_MET3_METTHK
PDK_CODE xt018_5033_MOS5_MET3_METMID_METTHK
PDK_CODE xt018_5041_MOS5_MET3_MET4_METMID
PDK_CODE xt018_5042_MOS5_MET3_MET4_METTHK
PDK_CODE xt018_5043_MOS5_MET3_MET4_METMID_METTHK
PDK_CODE xt018_5051_MOS5_MET3_MET4_MET5_METMID
PDK_CODE xt018_5052_MOS5_MET3_MET4_MET5_METTHK","###Human:
Why doesn't the xt018 HV_CELLS library automatically load?

###Assistant:
The module requirements can differ depending on the selected cell -- this applies mainly to the 1.8V cells as they are not compatible with the MOS5 core module. In the Cadence PDK environment, whether an X-FAB library is available for a particular PDK startup option is controlled by the pdk_code.txt file within the library. The file currently in the library only specifies options with the LP5MOS main module. However, the library can also be used with the MOS5 main module (except the 1.8V cells, as already noted).
The pdk_code.txt file can be amended as below to include MOS5, which specifies the compatible options. Change the file in your installed library at (the exact path depends on the library version) $X_DIR/xt018/esdlibs/HV_CELLS/v1_2/cadence_IC61/v1_2_0/HV_CELLS/ with the content below.
It's important that when selecting any cell, you ensure that its module requirements are consistent with those of your design.

# Do not edit this file!
# File keeps xkit start up information
# HV_CELLS v1_2_0
# MOS5 options added
PDK_CODE xt018_1231_LP5MOS_MET3_METMID
PDK_CODE xt018_1232_LP5MOS_MET3_METTHK
PDK_CODE xt018_1233_LP5MOS_MET3_METMID_METTHK
PDK_CODE xt018_1241_LP5MOS_MET3_MET4_METMID
PDK_CODE xt018_1242_LP5MOS_MET3_MET4_METTHK
PDK_CODE xt018_1243_LP5MOS_MET3_MET4_METMID_METTHK
PDK_CODE xt018_1251_LP5MOS_MET3_MET4_MET5_METMID
PDK_CODE xt018_1252_LP5MOS_MET3_MET4_MET5_METTHK
PDK_CODE xt018_5031_MOS5_MET3_METMID
PDK_CODE xt018_5032_MOS5_MET3_METTHK
PDK_CODE xt018_5033_MOS5_MET3_METMID_METTHK
PDK_CODE xt018_5041_MOS5_MET3_MET4_METMID
PDK_CODE xt018_5042_MOS5_MET3_MET4_METTHK
PDK_CODE xt018_5043_MOS5_MET3_MET4_METMID_METTHK
PDK_CODE xt018_5051_MOS5_MET3_MET4_MET5_METMID
PDK_CODE xt018_5052_MOS5_MET3_MET4_MET5_METTHK"
How does the pe5ti device differ from the pe5?,The xt018 pe5ti is a trench-isolated pe5 without a PTUB below it. The peti and pe5ti devices were generated in response to a request for a pe or pe5 device that did not need a p-well contact as this would take up more room.  We came up with the peti and pe5ti devices specifically for this reason. These devices are standard pe or pe5 transistors but with HVNWELL used below the N-well which converts the entire tub to N-type.,"###Human:
How does the pe5ti device differ from the pe5?

###Assistant:
The xt018 pe5ti is a trench-isolated pe5 without a PTUB below it. The peti and pe5ti devices were generated in response to a request for a pe or pe5 device that did not need a p-well contact as this would take up more room.  We came up with the peti and pe5ti devices specifically for this reason. These devices are standard pe or pe5 transistors but with HVNWELL used below the N-well which converts the entire tub to N-type."
Why is rm1 metal resistor breakdown so much lower than that of higher level metal resistors?,"This is related to the ILD/IMD voltage rating, for MET2 there is much thicker oxide than for MET1. 
There is design rule S1M1DF, but this would require a DTI between the MET1 and DIFF geometry in question. If there are no active devices below rm1, the device could be placed over floating ISOTUB(s).","###Human:
Why is rm1 metal resistor breakdown so much lower than that of higher level metal resistors?

###Assistant:
This is related to the ILD/IMD voltage rating, for MET2 there is much thicker oxide than for MET1. 
There is design rule S1M1DF, but this would require a DTI between the MET1 and DIFF geometry in question. If there are no active devices below rm1, the device could be placed over floating ISOTUB(s)."
"After upgrading to version 12 PDK, why do rpp1 instances of existing design show different parameter values and get flagged with DRC error B7P1?","This is due to the underlying well options. The background here is that we found a bimodal distribution of rpp1 sheet resistance with NWELL below, depending on whether LP5MOS or MOS5 core module was used. To address this, we now offer two rpp1_3 resistor types: the rpp1_3 and a rpp1nw_3. The rpp1_3 has a new higher sheet resistance than before while the rpp1nw_3 has the same sheet resistance as the version 11 rpp1_3.

This explains why, using rpp1_3, you get a different length for the same resistance in v12 PDK.

You could use the new device rpp1nw_3 instead of rpp1_3 to get a better match to the old v11 and avoid the B7P1 error.

Alternatively, you could leave your layout as-is and waive the B7P1 error as it is not fatal, but then if the design is re-used in a different core module later, you may see a different performance.","###Human:
After upgrading to version 12 PDK, why do rpp1 instances of existing design show different parameter values and get flagged with DRC error B7P1?

###Assistant:
This is due to the underlying well options. The background here is that we found a bimodal distribution of rpp1 sheet resistance with NWELL below, depending on whether LP5MOS or MOS5 core module was used. To address this, we now offer two rpp1_3 resistor types: the rpp1_3 and a rpp1nw_3. The rpp1_3 has a new higher sheet resistance than before while the rpp1nw_3 has the same sheet resistance as the version 11 rpp1_3.

This explains why, using rpp1_3, you get a different length for the same resistance in v12 PDK.

You could use the new device rpp1nw_3 instead of rpp1_3 to get a better match to the old v11 and avoid the B7P1 error.

Alternatively, you could leave your layout as-is and waive the B7P1 error as it is not fatal, but then if the design is re-used in a different core module later, you may see a different performance."
What is the relation of the FIMP mask to drawn layers?,The xt06 FIMP mask defines where the field implant is not implanted. It is not intuitive that the NOFIMP layer is the direct design entry for the FIMP mask. Having in mind the FIMP mask is meant for blocking the global FIMP implant in the process makes it easier to understand.,"###Human:
What is the relation of the FIMP mask to drawn layers?

###Assistant:
The xt06 FIMP mask defines where the field implant is not implanted. It is not intuitive that the NOFIMP layer is the direct design entry for the FIMP mask. Having in mind the FIMP mask is meant for blocking the global FIMP implant in the process makes it easier to understand."
"For wafers held at Poly, at what step are the wafers actually held?","For a request to hold at Poly, we will hold it at Active (ACT/DIFF) layer instead. For the 0.18µm technologies, ACT and POLY1 dummies are required and both dummies are interlinked. Therefore, any POLY1 redesign may affect the ACT layer and may result in a new ACT mask. If the wafers that have been on hold at Poly had already processed with the old ACT mask, clearly the new ACT mask cannot be used for these wafers. So to avoid this from happening, we suggest to hold the wafers at the Active layer. However, if you can confirm that your future redesign will not change the ACT mask, we can support your request to hold the wafers at Poly.","###Human:
For wafers held at Poly, at what step are the wafers actually held?

###Assistant:
For a request to hold at Poly, we will hold it at Active (ACT/DIFF) layer instead. For the 0.18µm technologies, ACT and POLY1 dummies are required and both dummies are interlinked. Therefore, any POLY1 redesign may affect the ACT layer and may result in a new ACT mask. If the wafers that have been on hold at Poly had already processed with the old ACT mask, clearly the new ACT mask cannot be used for these wafers. So to avoid this from happening, we suggest to hold the wafers at the Active layer. However, if you can confirm that your future redesign will not change the ACT mask, we can support your request to hold the wafers at Poly."
What helps are available for resolving MIM capacitor antenna errors?,"The MIM-capacitor antenna rules are defined in the 0.18um-ProcessSpecification-DR_MIM_Antenna_Rules document.
Advice for preventing and resolving such errors can be found in the 0.18um-ApplicationNote-MIM_Capacitors_Check document.
https://my.xfab.com/search/_action/relation/0d92400d-b4de-48f3-9bb8-38e7aaf134b9/
Supplemental 'MIMANT' DRC runsets for checking these antenna rules are available for PVS, Calibre, and IC Validator.
https://my.xfab.com/search/_action/relation/491ae11f-379c-4a5e-b2b0-8445c79c830d/
https://my.xfab.com/search/_action/relation/557ba3a2-ee77-4034-8518-5917dac84d4d/
https://my.xfab.com/search/_action/relation/de9558d0-b114-4f5f-bf3f-d8c7ab2562d3/","###Human:
What helps are available for resolving MIM capacitor antenna errors?

###Assistant:
The MIM-capacitor antenna rules are defined in the 0.18um-ProcessSpecification-DR_MIM_Antenna_Rules document.
Advice for preventing and resolving such errors can be found in the 0.18um-ApplicationNote-MIM_Capacitors_Check document.
https://my.xfab.com/search/_action/relation/0d92400d-b4de-48f3-9bb8-38e7aaf134b9/
Supplemental 'MIMANT' DRC runsets for checking these antenna rules are available for PVS, Calibre, and IC Validator.
https://my.xfab.com/search/_action/relation/491ae11f-379c-4a5e-b2b0-8445c79c830d/
https://my.xfab.com/search/_action/relation/557ba3a2-ee77-4034-8518-5917dac84d4d/
https://my.xfab.com/search/_action/relation/de9558d0-b114-4f5f-bf3f-d8c7ab2562d3/"
